58003762_358659093990744064 x	RT @foodsyoucaneat: New & improved breakfast burrito at @SPTapRoom #NewBrunchMenu #brunch #ham #eggs #cheese http://t.co/h4XdRwc6TM
58003762_358659081621745664 x	RT @foodsyoucaneat: Papa Schroeder's SOS at @SPTapRoom #NewBrunchMenu #brunch #ham #eggs #rye http://t.co/tG4Pw1aZHs
58003762_358659069307273216 x	RT @foodsyoucaneat: Zucchini & garbanzo shakshouka, eggs, feta, flatbread at @SPTapRoom #NewBrunchMenu #brunch http://t.co/rE5ScGYHS6
58003762_358659048217919488 x	new brunch menu in full effect- saturday & sunday 11am-3pm!
58003762_358657674730549248 x	RT @foobooz: Menu for the @cheunoodlebar and @foodsyoucaneat pop-up set for August 6th. Hot dog dumplings! http://t.co/lbukA0BmzA
58003762_358656214294462465 x	sierra nevada pale ale & 21st amendment hop crisis on draft now
58003762_358335013865009153 x	specials: 1 & 1/2 pound country time pork chop for two/my grandmom's tomato & mayonnaise sandwich/huarache de hongos & more!
58003762_358019225585065984 x	allagash odyssey on draft now! cc: @beerlass
58003762_357994348207542273 x	new cocktails: tres flores (blanco/st germaine/lemon/lavender/rose) & cucumber gimlet (gin/cucumber/lime/basil)
58003762_357993766415642624 x	new specials: whole roasted rhode island porgy/chilled local cucumber & corn soup/green meadow roma beans/saut?ed local summer squash
58003762_357943233994694657 x	RT @NewboldBrew: Long Trail Firkin Friday tmrrw! Stop by from 5-8pm as we tap a firkin of IPA, plus Belgian White and the new Lemon Pepper ?
58003762_395325609565749248 x	RT @sbaickerCSN: Thanks so much to the awesome crew at @SPTapRoom for the Halloween swag bag! Have you been there yet, twitter? Missing out?
58003762_395303746710040576 x	RT @PassyunkPost: Help make West Passyunk and Snyder Ave a nicer place with this fundraiser @SPTapRoom  http://t.co/CtMi7Ezjip
58003762_395298952746381313 x	RT @m_regan: Beer braised country time pork ribs with housemade sauerkraut. New at @SPTapRoom http://t.co/siSb4dak4d
58003762_394947550274658304 x	RT @m_regan: RT @m_regan: Chipotle pumpkin soup, roasted tomatillos, pepitas, queso fresco, cilantro new soup at @SPTapRoom http://t.co/L5H?
58003762_394451927591034880 x	RT @Fphrosty: @foodsyoucaneat & dugongers_ with their 2nd place trophy at the Mt. Airy Mac & Cheese Cook-off @ Grace? http://t.co/MG3prFE3xg
58003762_394451310147551232 x	RT @ZagatPhilly: Weekend Planner: rabbit (@akitchenphilly), cheese (@DiBrunoBros + @SPTapRoom) and a free shave (Frankford Hall): http://t.?
58003762_394274846831816704 x	@RoobCSN @josepharthur @sbaickerCSN she is permitted to get down with the boogie christ
58003762_394272233168044032 x	RT @sbaickerCSN: My entry into the @SPTapRoom pumpkin carving contest: http://t.co/KHOcu5l5dQ
58003762_394177400751525888 x	our 9th annual pumpkin carving contest starts at 4pm! pumpkins & tools provided, judging is at 8pm. mega prizes await!
58003762_394174734138867712 x	RT @PhillyTapFinder: Pumpkin beers. Pumpkin carving. Good times at @SPTapRoom today w/ this pumpkin lineup: http://t.co/NTwpOXcmVZ
58003762_393817813632446464 x	RT @foodsyoucaneat: Line cook! Come work with me and ol' @m_regan at the @SPTapRoom! Come on! We need you man!
58003762_393737882990833665 x	Get ready for tomorrow! 11 pumpkin draughts like Jolly Pumpkin, Southern Tier, Elysian. And this..http://t.co/XffBFo0oC5
58003762_393441460278009856 x	it's our 9th annual pumpkin carving contest this saturday! carving @ 4pm, judging at 8pm, 11 pumpkin drafts & pumpkin food specials too.
58003762_393143761624379392 x	@amberdegrace come. Get
58003762_393141118189461504 x	RT @foodsyoucaneat: New mac & cheese at @sptaproom charred jalape?o, cream cheese, candied bacon http://t.co/U7dUhbZH1K
58003762_393110040435245056 x	Pumpkins beers are taking over! Carving contest and pumpkin beers this Saturday 10/26. http://t.co/cWqN88RbFp
58003762_393069007290781696 x	RT @foodsyoucaneat: Breaded pork culet, dill-sour cream potato salad, cabbage, mustard pickled whole radish at @SPTapRoom http://t.co/3Sqia?
