20034040_371710997553483776 x	God does this take me back LOL. ? Holy Diver by @officialrjdio, from #SoundHound http://t.co/UcV0Ez1tCT
20034040_369829255250591744 x	@aaronpaul_8 smooth or chunky? Gotta know!
20034040_369828427886366722 x	@RuPaul That's one "Fatal Attraction" girl!
20034040_365342652750770176 x	THIS is one of many reasons why I fell in love with makeup. http://t.co/rHIp1prLWJ
20034040_365341346325737473 x	14 Reasons Why Movie Makeup Is Amazing http://t.co/g4ZUVb0F95
20034040_361903000886853633 x	Working girl at Subway #employed #thankyoujesus @ Subway http://t.co/W77i8QckUn
20034040_359413439476674560 x	@AGirlWhoListens @joshuagates @Stadium_Theatre Is this a Q&A? An overview of the show?? More info!!!!
20034040_359408223020781571 x	@alyankovic Don't take off the wrapper! It depreciates!
20034040_359406841760985090 x	@nerdist This is for you, Chris. #bjork http://t.co/HR2a8LeZHc
20034040_359356049087664130 x	@creepypuppet Thank YOU for all your brilliant hard work and dedication!
20034040_359315954833952770 x	@DarknessRadio really quite enjoyed your "Behind the Conjuring" Lorraine Warren interview. Doesn't get more fascinating than that!
20034040_358773439466713088 x	BAM! Just got this #TheConjuring sticker. Check out my 89 other stickers on #GetGlue http://t.co/xSzaVRafvh @theconjuring
20034040_358773439240208384 x	It's always better on the big screen! Check out the buzz about #TheConjuring on #GetGlue http://t.co/j7FS32w3Ba
20034040_358723783349125122 x	@marcmaron What's better than a marathon of #maron? Maybe good sex. But it's a close second.
20034040_358722756621254658 x	@rickygervais Christians adore you too. Even if you are a sinful heathen.
20034040_358713005887848448 x	RT @Sethrogen: This Superman/Batman news is really gonna steal attention from The Lone Ranger/Green Hornet movie we were planning.
20034040_358475434767298563 x	@nerdist Chris, are you coming to Dragon Con in August?
20034040_358474726705864705 x	@bradleyarcher Me either.
20034040_357960163497476096 x	Adore. http://t.co/PH8AYtMHbs
20034040_357774982044069888 x	@MattMira I would choose like Jon Hamm ANY old day, and I've got boobs.
20034040_357774484008222722 x	@KChenoweth How many times have you played Sandy???
20034040_357726255484907520 x	Superb! http://t.co/h0e01BUYdC
20034040_356348293002964992 x	A quiet and unique gem. A movie for those who truly love storytelling and fi... #ConversationsWithOtherWomen #GetGlue http://t.co/TlJOclJ8D5
