32339705_376152525583298563 x	@RachelNichols1 I'm with you.
32339705_376148995220848641 x	FF these gorgeous ladies @trinamichaels @nyomibanxxx @madelynmarie @nina_mercedez @lifeofeva @NikkiDelano @AsaAkira @PMarizzle
32339705_376148925834461184 x	FF @Alyssa_Milano @Miranda_Lambert @Jaime_King @ParisHilton @EmilyroseLA @PauleyP @EllenBarkin @KaleyCuoco @tez_palmer @KateMara
32339705_376148876371058688 x	FF @allisonscag @1capplegate @rosemcgowan @KatherynWinnick @AllCharisma @H_Combs @JennyMcCarthy @jeweljk @lindsaylohan @MeaghanRath
32339705_376148815687843840 x	FF @SashaAlexander1 @ZooeyDeschanel @JewelStaite @TheReal_Jlh  @lakebell @elizadushku @taylorswift13 @jessicaalba @ChloeGMoretz
32339705_376148757173121024 x	FF @Jon_Favreau @tomhanks @SethGreen  @denisleary @danieltosh @StephenAtHome
32339705_376148685324689408 x	FF @MsJaimeMurray @kellyoxford @BrandiMarieXO @JenSchwalbach @TrinaMania @KrisWilliams81 @KameronLyndi @MadelaineHasson
32339705_376148597625995264 x	FF @ThatKevinSmith @RalphGarman @TyLabine @GroovyBruce @EddieMcClintock @David_Boreanaz @pattonoswalt @simonpegg @danecook
32339705_376148505900748800 x	FF these beautiful and talented women @RachaelLCook @oliviawilde @RachelNichols1 @Angie_Harmon @ShannonElizab @KellyHu @Estella_Warren
32339705_369002314884845568 x	@ShannonElizab Saw counter first, then was able to reverse it.  Amazing. Made my head hurt though. LOL BTW I am left-handed.
32339705_367798192445743105 x	@KrisWilliams81 My son when he was learning to write: "Why do I need to write when I can type?" This was '93 or so. Probably worse now.
32339705_367143962106019841 x	RT @AllCharisma: .@Stenun @GeorgeTakei @JewelStaite  Jewel is a gem.
32339705_365692956436471808 x	@sophiedee So do cashiers; seems like they try and keep it that way in the drawer.  So I try and keep mine like that too.  Trained LOL.
32339705_365545883837796353 x	FF these gorgeous ladies @trinamichaels @nyomibanxxx @madelynmarie @nina_mercedez @lifeofeva @NikkiDelano @AsaAkira @PMarizzle
32339705_365545828271665152 x	FF @Alyssa_Milano @Miranda_Lambert @Jaime_King @ParisHilton @EmilyroseLA @PauleyP @EllenBarkin @KaleyCuoco @tez_palmer @KateMara
32339705_365545774085447680 x	FF @allisonscag @1capplegate @rosemcgowan @KatherynWinnick @AllCharisma @H_Combs @JennyMcCarthy @jeweljk @lindsaylohan @MeaghanRath
32339705_365545719467225088 x	FF @SashaAlexander1 @ZooeyDeschanel @JewelStaite @TheReal_Jlh  @lakebell @elizadushku @taylorswift13 @jessicaalba @ChloeGMoretz
32339705_365545670389665792 x	FF @Jon_Favreau @tomhanks @SethGreen  @denisleary @danieltosh @StephenAtHome
32339705_365545616568365057 x	FF @MsJaimeMurray @kellyoxford @BrandiMarieXO @JenSchwalbach @TrinaMania @KrisWilliams81 @KameronLyndi @MadelaineHasson
32339705_365545538067767296 x	FF @ThatKevinSmith @RalphGarman @TyLabine @GroovyBruce @EddieMcClintock @David_Boreanaz @pattonoswalt @simonpegg @danecook
32339705_365545484946898945 x	FF these beautiful and talented women @RachaelLCook @oliviawilde @RachelNichols1 @Angie_Harmon @ShannonElizab @KellyHu @Estella_Warren
32339705_363923588958523392 x	RT @TrinaMania: "Pour Me Something Stronger Than Me..."
32339705_363923546436673536 x	RT @Jchawes: Tough night. I didn't realize I had dropped my keys in driveway before climbing in my truck. I was stuck till someone let me o?
32339705_363830815081250816 x	@KaleyCuoco Who could possibly think you would pay someone to constantly follow and harass you? Idiots!
32339705_363557944354287616 x	@JewelStaite Ahhh the glamorous life of a beautiful movie and TV star, eh?
32339705_363521269435600896 x	RT @joncassar: #Continuum - Congrats to @SimonDavisBarry @RachelNichols1 @webstervictor   and the rest of the gang on a 3rd season pickup.
32339705_363520915058851840 x	RT @RachelNichols1: This 3-hour flight delay is more than a bag of dicks...it is a DUFFLE BAG OF DICKS.
32339705_363368665342681090 x	FF these gorgeous ladies @trinamichaels @nyomibanxxx @madelynmarie @nina_mercedez @lifeofeva @NikkiDelano @AsaAkira @PMarizzle
32339705_363368579325890560 x	FF @Alyssa_Milano @Miranda_Lambert @Jaime_King @ParisHilton @EmilyroseLA @PauleyP @EllenBarkin @KaleyCuoco @tez_palmer @KateMara
32339705_363368529602420736 x	FF @allisonscag @1capplegate @rosemcgowan @KatherynWinnick @AllCharisma @H_Combs @JennyMcCarthy @jeweljk @lindsaylohan @MeaghanRath
32339705_363368482785599488 x	FF @SashaAlexander1 @ZooeyDeschanel @JewelStaite @TheReal_Jlh  @lakebell @elizadushku @taylorswift13 @jessicaalba @ChloeGMoretz
32339705_363368433888403456 x	FF @Jon_Favreau @tomhanks @SethGreen  @denisleary @danieltosh @StephenAtHome
32339705_363368379446333440 x	FF @MsJaimeMurray @kellyoxford @BrandiMarieXO @JenSchwalbach @TrinaMania @KrisWilliams81 @KameronLyndi @MadelaineHasson
32339705_363368328858845184 x	FF @ThatKevinSmith @RalphGarman @TyLabine @GroovyBruce @EddieMcClintock @David_Boreanaz @pattonoswalt @simonpegg @danecook
32339705_363368268578299904 x	FF these beautiful and talented women @RachaelLCook @oliviawilde @RachelNichols1 @Angie_Harmon @ShannonElizab @KellyHu @Estella_Warren
32339705_363159907907813376 x	RT @JewelStaite: Customs officer: "The definition of your work visa is actually extraordinary alien which is amazing cuz you're on sci fi s?
32339705_363159751657406464 x	RT @RachaelLCook: You can't prove anything. RT @CobraKaiGuy213: @RachaelLCook Did you strangle a Smurf?
32339705_363159425827078147 x	RT @TrinaMania: Do you know how ridiculous you small Indy promoters sound when you say I'm "too controversial" to be on your show? Grow som?
32339705_362440900716142592 x	RT @ChloeGMoretz: Don't talk and spread rumors behind my back. I will shut you down. And you'll know I did. Id rather have 1 true friend th?
32339705_362077492464467969 x	RT @JewelStaite: Amen, darling. A. MEN. RT: @wilw: Wish I didn?t have to repost this, but here we are: http://t.co/IJ2L3mvYV5.
