112541740_123470468161339392 x	Sittin here at Ashley's Furntuire picking out some new patio Furntuire.
112541740_12883479054262272 x	Man today is a good day.
112541740_12907738233307136 x	@davidnolan444 its painful during and sore after
112541740_97004991524503552 x	Right now I'm reviewing some contracts for being a TV sports Analyst.
112541740_279397002624770048 x	Sitting in the press box watching the game.....
112541740_149288555552845824 x	Hey everyone just alittle update.....the knee is doing great, and the foot has made Hugh progress. I can't wait.....
112541740_42219463663157248 x	On my way to rehab, man its tough doing the same exact thing everyday, but I know its gonna help in the long run.
112541740_163270574066507776 x	What does the day hold for you all? What's happening.
112541740_115532841806336000 x	I love Philly...... Chickie-N-Peyes is awesome.
