743236729_395309199879839745 x	"@BestOfFMyLife: http://t.co/SefPS9Rosv" I'd be pissed
743236729_394581187978862592 x	"@kellystrah13: Big Ben is such a bitch" lol @TheRealChoJo
743236729_393158211018436608 x	"@TheRealChoJo: @jeffybrevik34 I figured, you've always tried to be the cool kid ever since 1st grade" haha you mother bucker
743236729_393157119178199040 x	"@TheRealChoJo: People try so hard to be cool" why do you think I bought a diesel I wanted to be cool....
743236729_392493241628917760 x	@TheRealChoJo  lololololololol only you say this
743236729_392085671869157377 x	@Qbone26 @Jonny___Mac @TheRealChoJo that's just the dude been thought was a girl
743236729_392086360288681984 x	@TheRealChoJo @Qbone26 @Jonny___Mac big Ben suckin dick and rapin chicks
743236729_392087056962555904 x	@Jonny___Mac @TheRealChoJo @Qbone26 most recent team #winning
743236729_392042773001809921 x	@Mark_S_Bowser7 @evdawgggg me and big h will show him what state playoff men can do to a little shit head.
