1978933170_392779709224058881 x	@mrroc81 thanks bro!
1978933170_396126412920610816 x	Ok the answer is Vick, Garcia, and Feeley, ya'll got it.. Now what teams did they all lose to in the? http://t.co/4317V8lkvZ
1978933170_396123862947352576 x	Aight let's do some trivia .. 1st question .. Which 3 QB's in this pic have led the Birds to the? http://t.co/Lq30V6ZRNF
1978933170_392779625883254784 x	RT @mrroc81: If you #bleedgreen, then go follow ~~~~~~>@WeBleedGreen84 #BirdGang #EaglesTalk
1978933170_396111152675295232 x	I definitely do .. We might not have won a Super Bowl title with him, but we ran the NFC East for? http://t.co/IuhZKNzzk6
1978933170_396096130171568128 x	In my opinion #fuckinehhright !! How bout ya'll ?? http://t.co/bpyD98EWzZ
1978933170_396066987774083072 x	I saw this article and I've been hearing the rumors and speculation, so I have to ask, do you guys? http://t.co/FhO1kYNpRr
1978933170_396024105138671616 x	What I'm sayin is what if the word spread throughout all major sports to "NEVER play in Philly"? http://t.co/RUFc498lkE
1978933170_395725336929112064 x	Ya'll see it !! #sixersnation .. We beat the champs baby !! I'm  luuuuvin it lol #sixeeeeeeers !! http://t.co/prc3sOXTDb
1978933170_395708126185684992 x	Nick Foles to start Sunday vs. Oakland .. Thoughts ??? http://t.co/fjpLw77HaW
1978933170_395635522372374528 x	We wish you the best bruh! #webleedgreen #eaglesnation #sixersnation #phillyfaithful #diehards? http://t.co/CILqlT9mM0
1978933170_395627019939348480 x	Yo this is funny how he said "Aaron McKie" 4 or 5 times.. Even the he's not talkin about me, thats my? http://t.co/HRCQaJ3In8
1978933170_395620782262726656 x	#alleniverson #theanswer #3 http://t.co/ykM1CtfB1s
1978933170_395620303457763328 x	#alleniverson #theanswer #3 http://t.co/uDo0uDoiG5
1978933170_395619687096401920 x	Watchin the A.I. retirement announcement.. #AI #3 #oneofthebestever #sixerslegend? http://t.co/95CLstfnVO
1978933170_395615303742550017 x	Niiiiice! Pic drawn by kblade215 #webleedgreen #eaglesnation #birdgang #salute #artisticskills #goodshit http://t.co/Mty1EvqfWs
1978933170_395586532352221184 x	Aight off topic .. Ya'll know #ibleedgreen, but I'm a #phillyboy #born&raised so I gotta shoutout my? http://t.co/kQjBEqgkzw
1978933170_395569512558657536 x	Thoughts or opinions ??? Me personally, I could never hate the guy .. He's sorta like A.I. of the? http://t.co/22SoejgoMl
1978933170_395384122279206912 x	This is Vick's injury history as an Eagle.. http://t.co/4wRfE9pcG6
1978933170_395371157614231553 x	I wouldn't mind, would you be surprised or what ?? Vick's my man .. I feel with the proper setup as? http://t.co/RNmpKRRLrB
1978933170_395269706602803200 x	#salute #webleedgreen #eaglesnation #birdgang #standup #salute http://t.co/PBAay6wnyz
1978933170_395266527194525697 x	Meet @_xForeverYours .. Our 700th follower !! Welcome and thanks for the luv !! #webleedgreen? http://t.co/tCTRRDZYVx
1978933170_395029980461420544 x	I'm really pinchin points in my fantasy leagues this week.. I'm tied and relyin on Russell Wilson's? http://t.co/fdDKLRNGM6
1978933170_394967045282213888 x	Or this young gun #joshgordon12 !! http://t.co/RsjTg8W9NG
1978933170_394961189874442241 x	#getfitz! #NOW! #Imeanrightnow! .. #webleedgreen #eaglesnation #prayforfitz ! http://t.co/kzcArR7wYC
1978933170_394833652196327424 x	Don't know what to do, say, or think but I know one thing #ibleedgreen #yallbleedgreen #WEbleedgreen? http://t.co/BU95t9RtwJ
1978933170_394831740206059520 x	#painfulmonday watchin #kattpacalypse to get some laughs.. What ya'll up to ? #webleedgreen gang? http://t.co/2l0CWZasOV
1978933170_394826749365993472 x	Haha Deebo shoulda played yesterday.. Coulda scared the Giants #lmao #webleedgreen #eaglesnation? http://t.co/zm3vFbsmHa
1978933170_394812166429503488 x	#mememonday #dontmindme .. Its my way of ventin, when our Birds lose..  #webleedgreen #eaglesnation? http://t.co/nV7VNXJP6A
1978933170_394803005922742272 x	#nottoday #likereally .. I'll bring the Chucky out !! #stillbleedgreen #regardless #eaglesnation? http://t.co/AIksFqeae6
1978933170_394741308260360192 x	A hero has left us too soon. Christopher Alvelo of Philadelphia, Pennsylvania was only 17 years old at? http://t.co/xChhJ8S4Dt
