55725357_399352787030380544 x	@BrianNeverDies i'm the same, not that into it anymore.
55725357_399353161464283139 x	@BrianNeverDies rap xD
55725357_399356393146175488 x	@BrianNeverDies nah man /: well maybe some bands, but not as kuch as i use to.
55725357_399357690742194176 x	@BrianNeverDies yeah... what u been up to man?
55725357_399367523813965824 x	@BrianNeverDies applying for jobs still... damn bro idk what to do as far as the future haha.
55725357_399362030940868608 x	RT @TheAntJimmyShow: Despite a mediocre UFC record, Igor signed a new 4 fight deal before this fight. Guess he's the new company man, jobbe?
55725357_399361860891197440 x	RT @WestLinnEagleAH: That was a work
55725357_399357229389713408 x	#DestroyAllBrazilians #UFCFightNight
55725357_399355882120560640 x	@PlayDead_ u want nba 2k nigga?
55725357_399356050135977986 x	@PlayDead_ 13 ): I bought that shit a while ago from the psn store.
55725357_399356227093659648 x	@PlayDead_ wut
55725357_399356474326913024 x	@PlayDead_ u fucking guy you!
55725357_399356912270983168 x	@PlayDead_ foreals, we can co-op and take flight on some niggas
55725357_399356418832097280 x	@BrianNeverDies much
55725357_399355907881959426 x	RT @AGonzoNOT: When i die bury me under dodger stadium
55725357_399354970098503680 x	@DatDudeBP @thisisdspan class
55725357_399352482427445249 x	RT @TommyToeHold: WTF is happening right now? #FightNight
55725357_399345525998096384 x	RT @ufc: WAY. TO. FINISH! @LiLHeathenMMA with the huge KO victory!
55725357_399344712500273152 x	@PlayDead_ hahaha Brazil sucks dood
55725357_399345447409434624 x	@PlayDead_ they're only good at kicking a ball
55725357_399343835630690304 x	RT @mmamania: That was the most silent knockout ever. Holy crap!
55725357_399343677224415232 x	#UFCFightNight
55725357_399343648451473408 x	Nasty KO
55725357_399343619347214336 x	HOLY!!!
55725357_399331255868596224 x	Sadly, Vitor will win tonight..
55725357_399325886186409984 x	RT @BlakeW38: Yes everyone, we get it, instagram is down, you don't all need to tell us. It is not a big deal. Calm down
55725357_399320756821041152 x	RT @BuzzFeed: Instagram is down someone please send me a picture of your food
55725357_399318744821796864 x	RT @XboxSupportCuh: QUIT DRINKIN SO MANY MOFUCKIN ENERGY DRINKS WHILE GAMING, DO YALL LAZY MOFUCKAS REALLY NEED ENERGY TO SIT ON DA COUCH C?
55725357_399313129055592449 x	RT @SwizZzleFish: It'll be worth it.
55725357_399303951675170816 x	@WWESheamus @Kone_Zone @Xbox cries*
55725357_399300367373979648 x	My neck huuuuuuurts
55725357_399289896138833920 x	RT @Deadspin: This appears to be a Vine of a nude Anthony Davis. It is weird. http://t.co/hb0RLpB2bY
55725357_399288708387459072 x	Anthony Davis... smfh.
55725357_399287608263454721 x	RT @Eagles: #FlyEaglesFly. Destination: #PHIvsGB http://t.co/exT30YGF8v
55725357_399286736632565761 x	@ashleyyroman xD
55725357_399283563196993536 x	@DodgersNation C+ & no
55725357_399228960669970432 x	RT @DizzyWright: If you motivating yo homies u da man
55725357_399228404089622528 x	Mornings aren't the same anymore
55725357_399228332820013056 x	RT @fernandooo_96: SIPPIN ON SOME SIZZURP
55725357_399120229327859712 x	Hungry!!!
55725357_399120204866658304 x	Cant sleeeeep
55725357_398982862591909888 x	#LakeShow
55725357_398974148908568576 x	RT @SourBeaner: Kanye tho http://t.co/APDWGDalV8
55725357_398892646417956864 x	Coffeeeeeeeeeeeee
55725357_398751108769644544 x	@Trouty20 can i get a follow bro? I'm a huge Eagles fan! Haha  Ready for the W this Sun? Foles going to destroy!!
55725357_398710112228884480 x	RT @Jmeeks20: Good win tonight!!! Time to get focused for tomm now!
55725357_398710098341535744 x	RT @SteveBlake5: Thank you Jesus!! Great team win for us all. Everyone contributed big time! And a big thanks to the Laker family out there?
55725357_398709965751193600 x	@JavyGuerra54 lemme add u on psn real quick
55725357_398707077272465408 x	RT @kobebryant: #vinoblanco
