321177436_385860367475548160 x	I rely don't give a s%^# I hate all of your family
321177436_384860021835960320 x	@snooki yayayayayayayay you made it past this round #dwts
321177436_384855350090141696 x	@snooki yayaya you did amazing
321177436_384854872400855040 x	Omg @snooki you did amazing on your dance #dwts amazing ????????????????????
321177436_384854484595539968 x	@snooki  you will do amazing #dwts
321177436_384854007552147456 x	#dwts @snooki hahahahahhahahah their next
321177436_384839262098948096 x	#dwts @snooki love her
321177436_384200072021684224 x	I love seeing this even with them never seeing one another they still love each other! #cousin #love? http://t.co/jKuzqr19dZ
321177436_384192470722306048 x	Relaxing watching my show on Netflix  drinking some Wine #orangeisthenewblack #netflix #show #relaxing? http://t.co/vq4dfoznGL
321177436_383998681688842240 x	I love seeing this even with them never seeing one another they still love each other! #cousin #love? http://t.co/JmsDyLUJQx
321177436_383712303977615360 x	Daddy went away for a couple of days for a bachelor party and we already miss him ?? love you dad? http://t.co/A7i4yTIEho
321177436_383594745635024896 x	Look what just arrived this morning my Business Cards Call me to make your Appointment #business? http://t.co/UTtwXqwazN
321177436_382709840604569600 x	Omg people are crazy and such stalkers  ???
321177436_382311030346768385 x	#DWTS  wtf why don't you ever have @snooki  ever talking before the commercials ???????
321177436_382307077278158849 x	#DWTS @snooki  it's ok you still did amazing don't worry I will definitely Vote like crazy ????????????
321177436_382306171748880384 x	#DWTS she did Amazing @snooki
321177436_382305891762307072 x	#DWTS  omg she's doing so good @snooki
321177436_382305667220262913 x	#DWTS  hahahahahhahahah @snooki is dancing right now I'm so excited to watch
321177436_382303184800460800 x	#DWTS I just want to see @snooki
321177436_382301717490319360 x	@JackOsbourne don't be scared you did amazing & your HOT ????????????????
321177436_382301331337523200 x	#DWTS omg @JackOsbourne was amazing ??
321177436_382294918892630016 x	#DWTS  let's go @snooki ????????????
321177436_382230749795336194 x	Life is like a camera...  Focus on what's important, Capture the good times, Develop from the? http://t.co/vXuf0HjGF9
321177436_382123917131124737 x	I hate you cold weather ???????
