20012204_388710615310950401 x	Tell Us: What did you think of #Glee's farewell to Cory Monteith? http://t.co/AFdDNhPwET
20012204_398517754183307264 x	If fans thought Kaley Cuoco got engaged quickly, just wait until they see her impromptu wedding on @TheEllenShow! http://t.co/SWjkeXLyt8
20012204_397893625767809024 x	Not fair. Blake Lively eats chocolate daily, doesn't diet, doesn't need a trainer to stay in shape http://t.co/b8CtsrJbrP
20012204_397428552259629056 x	Eddie Cibrian slams "absurd" rumors of an affair and split from LeAnn Rimes: http://t.co/DmfE6OJLCp
20012204_397382217783320576 x	Whoa! Michelle Pfeiffer reveals that she was in "a cult" during her earliest days as a struggling actress: http://t.co/BN3mKBE0tL
20012204_397367663472967680 x	She did it! As promised, @PamelaDAnderson successfully ran her first-ever New York City Marathon yesterday: http://t.co/rx70Uzc264
20012204_396694464418553856 x	Shahs of Sunset's @RezaFarahan and @AsaSoltan are taking over our Twitter on 11/5! Submit your Qs using #celebsloveUs http://t.co/Sp9y1ExbY0
20012204_396282593949515777 x	Find out why Kim Kardashian and Kanye West are reportedly suing YouTube co-founder Chad Hurley: http://t.co/i15U5aTuM3
20012204_395963399726989312 x	#BostonStrong! Donnie Wahlberg, Chris Evans, John Krasinski, and other celebs react to the @RedSox World Series win! http://t.co/yj6LVGOrjx
