19715003_377958539228360704 x	Any negative comments about my daughter or girlfriend : blocking you!!
19715003_371428658449108992 x	Training hard for that homerun derby in Mexico. Will like to tour all Latin countries and face all top stars. @MiguelCabrera @EddieDiazBB
19715003_369637386214326274 x	Thanks to my girlfriend @ModelLeila I have a new you tube channel and will be posting lots of videos ... Get ready .
19715003_369636834977935360 x	Here's a message to all my haters . http://t.co/BMiqJO8TeN
19715003_379778946696351745 x	Whoever is a fan of mine .., or a hater of mine (much more of the haters )..,, you know you'd all tune into a reality show on me . Admit it.
19715003_379754014067265537 x	I love my poop @JosieCanseco come visit daddy this weekend
19715003_379754616855883776 x	?@dp14fanclub: ?@JoseCanseco: I love my poop @JosieCanseco come visit daddy this weekend?  poop??   Nickname .
19715003_379755801201504256 x	@jschoenwald @dp14fanclub yes my daughter and girlfriend are my poop . It's our nicknames for each other . Deal with it.
19715003_377447735924125696 x	Maybe I should do a @dennisrodman and do a trip to Syria.
