112576998_397575814650155008 x	PROTECTED
112576998_395318973362753536 x	@barristerbill Boeing bust - http://t.co/QFpdG1w4mj
112576998_393535476495171584 x	@lloydkaufman @barristerbill @Skittered_  Who's ready for spring?? http://t.co/zM6WGHzbMJ
112576998_389600838982696961 x	@bradwyman @barristerbill This is really cool > Banksy Has pop up Art Sale with  Signed canvasas Sells Almost Nothing http://t.co/8hchGcvNgU
112576998_387687403218944000 x	@barristerbill Did you see the bird? http://t.co/S5gnb2WfRh
112576998_385064453613420544 x	@barristerbill This would look great in your driveway -1978 Airstream Argosy 28 Rear Bath Twin | West Chester PA - http://t.co/hOGB4FIdsT
112576998_381438610018279425 x	@barristerbill You change your profile picture almost as much as Anna G. changes her story.
112576998_378288844254097410 x	@barristerbill  Check this out - http://t.co/U04ejKo8mr
112576998_375770622963351553 x	PROTECTED
112576998_373130496936407040 x	@barristerbill  Woman sues boss for $6M for saying she looked like Susan Boyle http://t.co/ZxRCrAAugV via @msnNOW
