person_id,Score,Comments
726413,2,"Lots of tweets, most about sports only one or two were emotional"
815926,4,"Lots of tweets. Gives away info about his job, what he works on and also his feelings, but no explicit stuff"
5730982,5,"Specific amounts of money mentioned, also several locations(albeit from 4 square, still a lot of private locations)"
10401432,4,
14787713,1,Just a reporter tweeting news stories
17234807,4,Just a lot of inappropriate and angry tweets. Locations and a lot of drinking.
18082481,4,"Probably famous but still reveals locations, what he's doing and emotional feelings and experiences often"
19847175,5,Shares almost too much information on twitter. Makes it seem like we all need to know her everyday actions
20034040,1,Gives away very little information. Couple jokes about sex but nothing extremely private. A very diverse set of non private tweets
20820277,4,"Lots of harmless tweets, but also seems impulsive to say where he is and what he's doing"
20853941,5,Tweets about everything. Says who she's with what she's doing. Talks about her baby a lot too.
20898633,4,Talks about career and money a lot as well as smoking weed.
22823878,2,Talks about praying and her son but most tweets are harmless
23831250,3,"Gives simple descriptions of where he is, has sort of arguments between people, and shows emotion towards trivial things like sports"
26082471,1,"All tweets are about sports, but nothing specific or emotional."
37045460,4,"Several tweets about where he is or going. Partying tweets, lots of inferences can be made of his life"
37071421,4,Reveals email address on multiple occasions has direct communication with other users regarding the authenticity of specific items. Traceable conversations
37093049,1,Gives away no information
37146447,4,"Gives a lot of information about where he is and other people. IE he saw drug deals, and his mother was in surgery etc."
37472651,4,Talks about a missing family a lot and gives away username for online apps
38549014,4,Gives away a lot of little pieces of info that could be pieced together by someone to learn a lot
38667566,1,
39211902,3,
39545742,1,Just general sports information nothing more than public knowledge
40073601,5,
40519997,4,
40983933,1,
41023170,1,
41124484,5,
41416218,4,
42707301,2,
42747625,1,
43016111,3,
43139414,2,
43378813,3,
43641364,1,
44691385,3,
44933687,2,
45076395,2,
45746610,4,
46800229,3,
47012561,3,
47048859,1,
47377163,2,A lot of tweets to the same person/sports teams. Some emotional responses
48325595,3,
48397743,4,
50488470,2,
51263592,1,
51307930,2,Just a lot of communication between a set group of individuals and a few sports posts. Cited as 2 because of frequent communication
52405458,3,"A lot of emotional tweets, but there isn't anything specific given away. Just a sort of sad tone to some of them"
52529896,3,
53178109,1,
53295087,2,
53815690,2,
56392450,3,
57680343,2,
58003762,2,"Just a bunch of food and beer posts, but they are all about the same bar/pub so I figured that was a pattern which in and of itself is a pattern"
61077525,3,
61378816,2,
62426124,3,
63872619,3,
68264852,4,
70828654,3,
71395859,5,
72318766,4,
73158292,1,
73279131,4,"Reveals birthday information more than once, reveals information regarding feelings several times, and has several long communications with other tweeters"
73505521,2,
76114396,3,
76381372,5,
79392160,5,"Just really revealing insight into her life. Birthdays, locations, SOs, etc."
82887748,1,
82967378,4,
84353161,5,
90719393,3,
100162736,2,
101997740,4,
153127601,1,Just talks about sports
217653084,5,"So many tweets, and a lot of information ranging from debt to drinking alcohol"
227704307,2,Couple tweets reveal emotional connection to certain people or things
232736812,3,Talks about drinking beer a lot and wasting money on it. Also where he is at
250339782,4,"Most tweets are harmless, some information was revealed but there was one tweet where he said he was in the hospital, sick so I bumped it up to a 4"
260539564,2,Just some emotional sports stuff
318212066,3,"Talks about locations, what he's doing, and some minor emotional stuff"
345385566,2,Talks about making money on surveys online
345423757,3,A lot of emotional tweets and some information about what he is doing
346954584,2,mostly about sports with some more revealing information and emotions
347576974,3,Gives away a bit of  emotions and gets confrontational with other users
351382924,5,Gives away a lot of emotional information as well as locations plans etc.
352031362,4,Gives away a lot of info about friends and hints at her profession (teacher) if she has kids.
374249138,3,Lots of emotional sports tweet and some tweets with deeper emotional significance
380352123,3,"Lot of tweets and every once in a while one contains emotional influence or location or actions that are revealing, but nothing too bad"
382889690,2,Subtle location information
389000832,4,Talks about some pretty private things like smoking (cigarettes and weed) as well as slacking at work and food stamps
393208809,4,"Gives information about getting laid off, about where he's working, about interests, and about locations"
393421318,4,
395066461,3,
395506680,5,
396248219,2,Gives exercise details also info about police being in his neighborhood
398459734,1,Nothing private here
399216451,2,
402144729,3,Has a lot of conversations going on and provides insight into what he's doing but nothing over the top privacy violating wise
408993546,3,
411733956,4,
415628559,2,
415875795,3,
419980746,2,
422266218,1,
427107326,2,
428368496,2,"Lot of info about debt and taxes, but not her info. She's a reporter who posts articles about those topics"
432993816,3,
433680901,3,
434580008,5,
435221762,4,
437126959,2,
437766356,2,
438513294,3,
438916612,5,
445069504,3,
448034086,3,
453485473,2,
455820378,5,"Every tweet is emotional, or about her wanting ANOTHER baby"
457609714,3,
462534698,2,
463872178,1,
463984047,3,
465927758,3,
466284226,4,
466984535,5,
468506994,3,
471056217,2,
471648598,3,
478497806,2,
483347515,1,
485238874,3,
488011724,2,
488220356,2,
490676905,1,
492480973,1,
493658381,2,
494191692,2,
495073584,2,
495652171,1,
496227636,2,
503464727,1,
510292896,3,"A lot of sports, and emotional reactions to them, and one or two locations. Nothing too private but still moderately sensitive"
510803227,3,
524728584,1,
524820290,4,
525517389,3,
525940609,2,
537788904,2,
539578580,4,
552221554,3,
559730381,1,
566258662,1,
575038654,3,
582092937,2,Not a lot of private information but some stuff about her job.
584389327,3,
585769431,4,
588663555,2,
611044728,1,
621719918,4,
716041425,4,
724190838,2,
736133006,3,
762150128,2,
790800259,2,
819901110,3,
848534460,4,
861376110,2,
865400646,3,
925668997,4,
926272208,5,
940324848,2,
963038778,3,
968034025,4,
979438842,3,
990180313,3,
994222922,5,"Conversations with another user about origins, and birthday/age"
997862101,3,
1010475876,2,
1029784568,2,
1048937526,3,
1067194634,4,"Talks about buying houses, talks to people directly, says what she's doing. However not a ton of tweets so I'd give it a four."
1095349585,4,"A lot of emotional stuff, talks about girlfriends and infidelity. However it's all repetitive so I don't know if it's really a five"
1190585754,3,"talks about job, trying to gather clients, reveals opinions but nothing too strong."
