25415355_394204211254018048 x	No problems in postrace tech. photo
25415355_392659739403763713 x	RPM No. 43 team item manager Greg Ebert will be interim crew manager for rest of his season. photo
25415355_391973094564573184 x	Green flag at 2:21 ET / 1:21 CT. 188 laps. ESP MRN. photo
25415355_391669086079307776 x	Without Todd Parrott as crew manager at Talladega, Aric Almirola says location is sign of team strength. URL no photo
25415355_391336657317683201 x	This is Jeb Burton's second location of his season. photo
25415355_391336163035721729 x	admit hi to media and others on twitter. sometimes people sometimes prizes RT he he he What is tweetup?
25415355_389778678537662464 x	With no NS race his next two weeks, JGR has time to find replacement for Vickers for his No. 20 NS car. photo
25415355_389000444782968832 x	Bank of America 400 lineup w/commentary: URL job Jeff Gordon on his pole: URL photo
25415355_388311603038257152 x	Dover reveals it is year dates. Truck-NNS-Cup May 30-June 1; East-NNS-Cup Sept. 26-28. photo
