1132318045_325401107675373568 x	he scumbag
1132318045_325408257164316672 x	he no die already
1132318045_381204955836981248 x	he strange is an understatement!
1132318045_346104180240420864 x	RT he Congrats Kim gradation who gave bad event to a person girl, number NBA Championship rings, design condoms, 6 press on body and one fiction
1132318045_331754542368686080 x	he URL Balls fly while driving?
1132318045_328941244531224576 x	he thanks Jim. Now that song is staying in my head. no With a bad image.
1132318045_325415953909293056 x	RT he Sleep well Boston!
1132318045_325415644700999682 x	RT he In his time of rejoicing, let us not forget his families of Martin Richard, Ling's Lu, Krystle Campbell and Officer
1132318045_325415620885757952 x	RT he CAPTURED!!! The fight is over. The search is done. The bad event is over. And justice has won. Suspect in custody.
