41877264_298941661931778048 x	Excited for his debut of Powe tonight, probably an order over Rapp who calls like he is retired.
41877264_289205459666219008 x	Kind of angry they do not have Community. I really want to get into it!
41877264_288705968735391744 x	he he I'd be angry if his Flyers used a year of his project right after being drafted. 9 game tryout, correct?
41877264_220558679689273344 x	he Couldn't agree more. Penguins usually more without J. Staal, Devils with a huge void, no Paris for either of them.
41877264_220258052069269504 x	Can't stop checking Twitter!!! #PariseWatch, #SeminWatch, #SuterWatch, #JagrWatch, #NashWatch, and #RyanWatch is making me!
41877264_161863386806759426 x	Hartnell over James Neal is questionable, but hey, his female needs it. Wish jagra would have went instead.
41877264_161894642747580416 x	he Harts is on a better team. +/- is a meaningless stat. Hartnell needs to be there, but I think others should be there.
41877264_154776861547827202 x	he The engaged man could not risk damaging his face! Don't get your thinks up though, they may have broken this week.
41877264_136880585430933504 x	he No, I know. Crosby will not be on his ballot. Just because he is his body part of his NHL, he is. #stupid #pissed
