953164392_392496089137688577 x	RT he Rip left eye, Rip tupac, Rip biggie #Legends
953164392_392495692674916353 x	assesses Hanni #TLCMovie was all that I got my life he he now I want a song with he and he all application of you
953164392_392301484395995136 x	RT he Lil Kim is his rank person rapper of all-time and I do not know how everyone reaction to forget that.
953164392_392300425132904449 x	Lil' Kim URL #NowPlaying
953164392_392298991242973184 x	RT he Congrats to my girl he on 20 years in his business ! happy URL
953164392_392298920480874496 x	RT he Happy Birthday to my person he he ! Mahwah wink wink !
953164392_392298878537842688 x	RT he On October 19th, year his Queen invites her location to come listen to her new he account.  Lil' Kim
953164392_392298864767938560 x	RT he 12 days until his queen he calls another classic! I'm fucking going bananas calm his days down! #queenbee4eva
953164392_392298740180320256 x	RT he *New pics* he performing tonight in Beirut <333 URL
953164392_392298680113717248 x	RT he he at Beirut tonite! Shut bad down! All Hail Queen Bitch! URL
953164392_391435129534840832 x	RT he #aslongasmybitchesloveme  URL
953164392_391421833989611521 x	RT he I Bet Rihana favorite Lil Kim songs are: Queen Bitch, No Time, Magic Stick, The Jump Off, and All about his Benjamin's song
953164392_391349113683705856 x	RT he If you are negative. Go you way>>>>>> that goes for everybody!!! #goaldiggers
953164392_391100255887818753 x	he he he and he all need to do a new song together
953164392_391024324330532864 x	he gave me life in Hot Sugar
953164392_391022687914455040 x	he - Hot Sugar: yes it is here watch it you URL URL URL
953164392_390758931544682496 x	RT he Lil Kim you are his hardest.
953164392_390758890419523584 x	RT he  Lil Kim you are his  Aww!!! Te bless  letters person rica!!!
953164392_390758729224052736 x	RT he #KILLERBEE's ARE SO PROUD OF YOU RIGHT NOW!!! he
953164392_390758492665282560 x	RT he Lil Kim has fiction calls by Jacob his jeweller starting at $1,500... Fuck off my
953164392_390751263128027137 x	RT he  #NoFilter  HEADING HOME NOW
953164392_389087387533324288 x	he shows a little body and gets called all photos of people but he can pass her ass all damn day but he is said
953164392_386806170184187904 x	RT he That's it! Im currently using that I'm having a family ...so he can admit "she's Beat" FIRST! no #takeTHATvince
953164392_386798027572121600 x	RT he Im up feeding Logan and this man says some dang"daddy"....well let me wake him up so HE can support you! unhappy
953164392_384978684622295041 x	he where my free stuff at laugh
953164392_384978263484809216 x	RT he cod Miami tonight with my family he #tmt URL
953164392_384634321442578432 x	he girl is not nobody gone buy or download you bad for free do not do it to you personal girl you will never be a MC #Shade
953164392_384510590833537024 x	he screwed up a genre Ben E. King song URL is My Darline he sucks and so do you album surprise mad as hell at Miley
953164392_384521971813212160 x	he I only like Wrecking Ball I do not know what her and her people was thinking
953164392_384632234365300736 x	he I do not think they will but Im loving Wrecking Ball though I hate that music is falling....
953164392_384524719115890688 x	he Closer to his Truth belong out tomorrow make sure to get it
953164392_384524057967722496 x	he - Woman's World [OFFICIAL HD MUSIC VIDEO]: URL URL URL
953164392_384522631073894401 x	People go get he album if you do not have it by now URL
953164392_384517330056650752 x	RT he (Photo why URL new he he is like saying I DONT CARE WHAT THE FUCK ARE U SAYING
953164392_384516362585911298 x	RT he new picture he looking sturin with her new make up URL good
953164392_384516107085697024 x	RT he  he he no NEW PIC LAST NIGHT HIP HOP
953164392_384515982665867264 x	RT he Private yachts and basquiats.Pussy so wet need private docks.Neighborhood watch could not watch you kiss still put you in a
953164392_384515486681030656 x	RT he About that life ! he #tmt no URL
953164392_384515464899989504 x	RT he Got their back like a Louis Fitton home activity sack!!! he #tmt no URL
