19563388_391939912834220032 x	RT he 20 years ago today was his #Phillies #BlueJays 15-14 #WorldSeries game
19563388_391041387962957824 x	Phillies Re-Sign Michael Martinez URL
19563388_319441102409195520 x	What will Roy Halladay's line be today? Give us innings, runs, walks, strikeouts. 1 person who body it gets a prize. GO!
19563388_333016221979136000 x	Read this. Roy Halliday is not like other athletes. If anyone "gets it" it is Doc. WOW. URL (from he
19563388_361280385394556930 x	RT he BREAKING: no Miguel Alfredo Gonzalez calls order inning, needs to defect back into Cuba. #PhilliesTalk
19563388_115257647900532736 x	PROTECTED
19563388_383927014802984962 x	Rf Playing as Though His Job is on his Line URL
19563388_227881700284301312 x	Report: Phillies Have $140 Million Offer to Hamel's URL
19563388_361557772984270848 x	Quick trigger. RT he Umpire Chad Fairchild has ejected four people in eight days. Fans paying good money to see him.
