899173616_389844598698176512 x	Where his #Flyers problems really stem from... URL
899173616_391043692041363456 x	"Flyers should trade all their good players!" - my family right now
899173616_391044945802723328 x	he This town does love to leave his rank people for team shortcomings. no Abreu, Carter/Richards, McNabb, etc
899173616_391045801839165440 x	he Gotta love revisionist history. no My favorite is "Giroux just does not care!" no Yeah that is it, thanks Dr. Phil
899173616_391170097726771200 x	he he I see a bad team that will not trade his few skilled people it has
899173616_391234930920808448 x	he he I think you are exaggerating just a bit here
899173616_391244485281079296 x	he he I think he is a PG player, but most of his points are units and his friends could not hit his net right now
899173616_391256657038413824 x	he he He made Hartnell a 37-goal scorer in 2012, made forseek a PG person last year. Don't overreact to 8 games.
899173616_387612146588057600 x	he Its all part of Amaro's plan to eventually get Rollins to respect for a trade
