135979899_331172241045864451 x	Am I his only one that says design problems of a paper, then shows for another 45 mins? #Isuck
135979899_331174992400244736 x	he fun relax in there. A week-ish until you come home!!!!!
135979899_331184578972770304 x	he whatever, ass. ; letters
135979899_326379506963214338 x	Finding money in random emotion is like seeing fiction #sweeeet
135979899_326427746320408576 x	he yeah.....no
135979899_319127853461561344 x	I still hate you for learning that picture. I waking up with his visual image interested into my brain. he #asshole
135979899_319139654790180864 x	he hurry up
135979899_319146300895547392 x	he it was an easy class. And we are out now Dr.hoopz. Did you pass out of school yet? We need to get started on your rapping personal ASAP
135979899_319167583054094336 x	he hollah! DR.HOOPZ ON DA MIC
