65203398_61262993136156673 x	he yes it is
65203398_147384268853755904 x	thank god it is his weekend love
65203398_147502610969137152 x	he hi what is up?
65203398_147503226927845377 x	he nothing, bored.
65203398_147503786137616384 x	he sucks laugh
65203398_61966587837685760 x	sucks when have work 6am tomorrow and it is easter..fml
65203398_61969137806753792 x	he at a nursing home
65203398_61256986494386176 x	he 18
65203398_60845468984410113 x	it is pretty funny when my family contains me to my room and take away my item fun I have internet on my phone! bad female
