221111688_395747899394772992 x	RT he Shane Victoriano his rare Philadelphia athlete that not a woman person loves
221111688_377214684975624192 x	RT he Watching this and eating Mountain Dew was a TERRIBLE idea.
221111688_373857567015198720 x	RT he Once again, I did not get almost enough lives up that today is National Bacon Day.
221111688_368559953864585216 x	RT he This makes me sad  Kudos to his he photog for this image
221111688_368435763526258688 x	RT he [Pat killick hands a beverage to Charlie Manuel] "Man, that person sure screwed up what we put together, did not he."
221111688_326160886689566721 x	he seriously does Durbin have blackmail photos of Charlie that he.keeps getting in games.... He is awesome
221111688_325662596088864768 x	he it was wonderful!! Cried through his whole thing
221111688_323917984584323072 x	RT he Magnificently worded by his own late Mr. Rogers about times of crisis: URL Thanks to he job
221111688_298263238506860544 x	RT he I promise Jim Harb used to unplug his Nintendo when his family was winning.
221111688_297723401789906946 x	RT he Head Groundskeeper Mike bookholder DID see his shadow this morning. 11 Days to Spring Training - Happy #GroundsCrewDay! URL job
221111688_263334350861529088 x	RT he We have power! We will be open 4-9 and it is Crabby tuesday. So come on in! #sandywontkeepusdown
221111688_235119588675817472 x	RT he Feeling crabby tonight? So are we! Tonight is Crabby Monday, we have number crab hanging songs at an even lower price! Come o job
221111688_235119505183997955 x	RT he Meet manager and body part chef Mike Stopper URL
221111688_230762836400422912 x	RT he Look forward to Chick-fil-A making their Only Some People Are Allowed to Be Happy Meal.
221111688_230330003299135489 x	he while I hope you are always a Phillie, if not I wish you his rank and will listen to follow you!
221111688_102761094841503744 x	he good luck stay strong.
221111688_44073771308564480 x	he he I do
221111688_44073674927652864 x	he he
221111688_35786383037706240 x	RT he Phillies 3- and 6-Game Packs on sale now. URL #clearwaterorbust4
221111688_35440407315873792 x	RT he Phillies 3-and 6-Game Packs on sale now! URL #clearwaterorbust3
221111688_35436451185434624 x	RT he Another day, another review for his Spring Training countdown. order RT of next he tweet gets it.
221111688_32213393704230913 x	he good luck
