93080978_394534174389858304 x	he what?
93080978_385267349923704832 x	Everyone in Edmonton let me out a collective "Fuck". #EatShitJets
93080978_385255165869043712 x	I'm going to be "that guy" and call out Sidney Crosby. avichi is not techno...
93080978_385263039873687552 x	he Dance/House
93080978_385266079896834048 x	he he yes back then Daft Punk was called techno. And genre was a genre not a sub genre.
93080978_380101657335320577 x	he no You did not watch enough "animals fighting" videos to get you screwed up. Better luck next year. he
93080978_363727846788694016 x	It's a Watch The Throne kind of day.
93080978_360625306727481344 x	The Town, because Blake Lively is a number and this movie is cut ass.
93080978_360672119945830401 x	he he I'll agree in his movie he is not as taste but I'd pay on an 8.5 or 9 outside of his movie.
93080978_357955815551930368 x	he Grebeshkov. Norris. Book it. he
