112541740_123470468161339392 x	sittine here at Ashley's furniture picking out some new location Furntuire.
112541740_12883479054262272 x	Man today is a good day.
112541740_12907738233307136 x	he it is painful during and sore after
112541740_97004991524503552 x	Right now I'm learning some contracts for being a TV sports Analyst.
112541740_279397002624770048 x	Sitting in his press box watching his game.....
112541740_149288555552845824 x	Hey everyone just quite update.....the body part is doing great, and his body part has made Hugh progress. I could not wait.....
112541740_42219463663157248 x	On my way to rehab, man it is tough doing his best awkward thing everyday, but I know it is going to help in his long run.
112541740_163270574066507776 x	What does his day bring for you all? What's happening.
112541740_115532841806336000 x	I love Philly...... Chickie-N-Peyes is awesome.
