50449062_395692440008814592 x	19-0..... Whoa
50449062_392068678814281728 x	I said his Chiefs would make his game this year, who knew someone would be that good
50449062_390289772369178625 x	I feel as if my day is going to be strange with out shop. I'm usually laughing in that  because of Brett though
50449062_390290241774702592 x	he you mean "Danny"
50449062_390290746710163456 x	My Danny impression is better than his real Danny
50449062_389524520069234688 x	he he he application
50449062_389525274922336256 x	he he he shame it
50449062_389499574819495936 x	Come on Danny
50449062_389501767823933440 x	he not you Danny, his sports player on his Patriots Danny
50449062_385186838983737344 x	he "I came on twitter to get people and tweet" there is your order tweet fun
