80094297_240990630162096130 x	URL This is how we get down at PrimePrepAcademy.
80094297_201360072994078721 x	My age old said family can we get a pet snake? I said #HOP black ladies do not do that. We have a application unit body off his ground rule. Lola
80094297_171397990798458880 x	If God told you had 1 day left in life what would you do? Be fine please.
80094297_132539494304972800 x	Im so excited to move he out on senior night 2night. I may classify my old falcon school spatted up full Prime Swagg! Kool?
80094297_128903666282397697 x	PROTECTED
80094297_226652260292247552 x	Goodmorning and God bless u. Lets enjoy this day like it was taken and not earned, as it was. Be nice,thankful,loving and considerate.Truth
80094297_98526315950522368 x	10,Prime wish you knew who he was when he played!
80094297_372813729265876992 x	Can we share his investigators? he got suspended a season application lying about a meal that was not a violation and manzil gets a half.
80094297_396634312432291841 x	Goodmorning and God bless you. Let's Laugh,Love,Live and Forgive. today can become whatever you want it 2B. Let it become a great memory. TRUTH
80094297_390570724446203905 x	he and he  I'm telling what I know NOT what I heard. TRUTH URL
