604734042_398600736520814592 x	< has an awesome talent for getting under  skin.. TM he he
604734042_398605646129803264 x	he he surprise he really mad yo..  talking about Madden and they always want to get personal
604734042_371824509214797824 x	Hold up though LO on crack?? So they needed  not food all this time?? Na yo.. Naaaa.. No way.. Not LO
604734042_368360508338216960 x	he he samfu Do better fam.. Figured you would outbuy how to take care of your phone by now
604734042_353250285122093057 x	he he he he
604734042_350403041683439616 x	I like his Wizards backcourt though if Wall can make a clothes
604734042_347469899016335360 x	I mention all design of them and made 1 stop  RT he  Happy Born Day  enjoy it he Let me get them codes fam! Hahaha
604734042_341701004569481216 x	U watching me play Madden?? RT he Can't wait to watch his game played at his highest level with his highest urgency tonight
604734042_341705710842810368 x	he I mention them people yo. Nice, Rob, and John.. But that was letters season.. I have to win it all or  for naght
604734042_337554766517391361 x	he he also yeah.. Where was he going??
