16031927_293087399418945536 x	tweet he - 49ers or Falcons? Pats or Ravens? or still angry about his Packers?
16031927_394959919331299329 x	are you laughing about Obamacare? who is? turn on FOX RIGHT NOW-OTR at 7pm
16031927_343356031432261632 x	Maybe I was wrong about this... read and annoy me your emotion no URL
16031927_354781749177352192 x	Zimmerman trial just adjourned for his day (yes, at just moments before number pm) - long trial day
16031927_344855688805236736 x	Pope Is Quoted as Acknowledging a Vatican   URL
16031927_342742240231309313 x	to his OTR viewers who hate me or just leave me...i still have laryngitis...so stay awake how my voice is at 10pm. happy
16031927_317073311538499584 x	VIDEO: New Sarah Palin video - is he running? no watch it and annoy me what you think: no URL
16031927_291378683623636993 x	Tweet me your emotion on his Journal News inappropriate map and use #greta to see your Tweet on OTR at 10pm/ET!
16031927_290573430472982529 x	tweet me a picture of your mammal or your mammal no he
