298080468_396404570760683520 x	URL Pour up!
298080468_396406041790795776 x	he Clyde Carson is coming up
298080468_396371722200702976 x	he he Lola you are such a female
298080468_396321459930292224 x	I want to die like Jay Leno but not at his age
298080468_396319080443285504 x	Another free period doing nothing
298080468_396097158044454912 x	Mike and Ike candies are fucking color
298080468_396097976793567233 x	he annoy her to send me food tomorrow
298080468_396029543716118528 x	Jordan just said Lloyd Banks is not good....
298080468_396030041160548352 x	he lightskin one, roast his ass
