1670635657_385594592201949185 x	find out what is possible if you never give up with your life, this is how when took famous by following my dreams, keep trying and trying.
1670635657_385593885562380289 x	if you want to do something with your life and people admit you could not do it, do not believe them believe what you think and never give up!
1670635657_385593351023521792 x	Hey when know when did not play on any shows yet or anything when just started being famous in month and now when already have over a amount people now!
1670635657_385592999721177088 x	you know there was lots of cops coming around but when do not know what happened me and my friends are still trying to figure that damn stuff out
1670635657_385592507360219136 x	when could not wait til' tomorrow when just kind of go to his location and play sports but when just relax around when love to play around.
1670635657_385592106493820929 x	PLAY THAT MUSIC!!!!!
1670635657_385591310649810944 x	every time when go to midnight party people always annoy me to hurry his fuck up but those are all my friends and stuff like that but yeah!
1670635657_385584737449832448 x	URL URL URL when speak this song all his time even in people when be singing kind of loud!
1670635657_385584107230478337 x	when could not wait til' my concert in San Francisco on October 16 when could not wait to be with all my people we are going to fly in his crowd!
1670635657_385583390981750784 x	twitter is my life especially when your famous like me!!!
1670635657_385582884150460417 x	when wish when was in his war, when when turn 18 we are going to still be famous but visit his bad event
1670635657_385582302593437697 x	my house is haunted when feel like his Haunted Hathaway's kind of we are not sure if it is haunted but when be seeing stuff and seeing things
1670635657_385581656880345088 x	he hi name fiction
1670635657_385581595354083328 x	it looks like when just passed out right now!
1670635657_385581266000572416 x	when did lots of stuff today screwed around his house getting chased by people everwhere people were learning it too but when had fun!
1670635657_385580820498350080 x	when seen rain with a chance of food songs design it was cool!
1670635657_385580711542927360 x	anyone needs a autogragh? wink
1670635657_385580547734380544 x	when got kind of money because people contains my albums listen to my music and they come to my concerts to be there for me
1670635657_385580135115538433 x	do you ever move down his door then you fall and your in a new world it happened to me all his time but we are with my fans!
1670635657_385578450687229952 x	he why cusin!
1670635657_385577405294718976 x	he no you look so good Matty and no you are really funny with your videos when love them!
1670635657_385538280839581696 x	we are learning a new song for my new album called I'll Be when will let letters you guys know when my song is out
1670635657_381945579770621952 x	Justin Bieber - Never Let You Go: URL URL URL
1670635657_385536690284011520 x	we are ready to go into his bad event at this age and my concert is coming up on month 16 if you want to go just go to URL
1670635657_385535271334187008 x	today when found a bag of name Bieber songs and a poster when took it because we are a big fan of him when love him!
1670635657_385534719334445056 x	even though we are famous and everything when think we are ready to join his bad event but when still love my fans!
1670635657_385400223310180352 x	good morning everyone eating some Ric krispies and we are going to stop by my old school and visit my principle
1670635657_385276204644708352 x	it is getting late out here we are really tired and reaction there was lots of government songs today and by schools too
1670635657_385256079291994112 x	Home Alone Christmas (Track #03) My Christmas Tree: URL URL URL
1670635657_385254702566227970 x	hi people!
1670635657_385254315134156800 x	when travel all during his world lots but it is mostly to go to my concert location and reaction when just visit fans! URL
1670635657_385253301928730624 x	I'm kind of angry for my concert but his rank thing will be is that my people are going to be there! URL
1670635657_385251686429634560 x	he no hi queen Latif you supposed to one of my concerts in San Francisco
1670635657_385238584027926528 x	person Justin I LOVE YOU!!
1670635657_385227585229037570 x	his play one when want to answer is person when will give him a VIP backstagepass for free if my manager makes it.
1670635657_385227287341174784 x	when could not wait til' my concert in San Francisco we are happy to be with all my fans!
1670635657_385227000379494400 x	we are in my room eating some food it is food with spinach anyone want some?
1670635657_385226619503144960 x	we are so excited about my concert on month 16 in month francisco if you want to go, go to URL
1670635657_385226298966024192 x	when think when should still be famous but when kind of want to join his bad event when we are 18
1670635657_385225966374486016 x	he name grande is his rank when remember her concert it was awesome!
1670635657_385225712665251840 x	he name last name when will follow you if you follow me
1670635657_385225441331515392 x	name last name
1670635657_385225332602597376 x	HI Selena GOMEZ!!!
1670635657_385225150951456769 x	Selena Gomez IS AWESOME I WISH SHE COULD FOLLOW ME!!!
1670635657_384803427743580160 x	I DONT WANNA GO BACK WITH person
1670635657_384803271572852736 x	SpongeBob Look At me Now: URL URL URL This is so funny yaounde to watch it if you like it comment about it!
1670635657_384801029063073792 x	follow me everybody. Im really excited about my concert in San Francisco on October 16 it is going to be really fun if you want to go just annoy me
1670635657_384800152688410624 x	annoy name Bieber when said hi ok jeremy Bieber please annoy him to answer me to a concert for free!
1670635657_384799824303775744 x	I earned a school today it was cool, when was playing with a fan then when fell off his monkey-bars and changed my body part when stilled a good time!
1670635657_384501187392716800 x	hi everybody!
1670635657_383741308277231616 x	person Justin I LOVE YOU IM YOUR NUMBER ONE FAN!!!
1670635657_383740739185676291 x	he I want a unit of food just kidding! hi Matty can you follow me please do
1670635657_383382999191916545 x	Mitt Romney Style - Gangnam Style Parody HD http://t.co/hp7vBgyuzS: URL URL URL
1670635657_383379097604210688 x	well when just want to thank all my people and stuff you guys are awesome and if you ever see me around you could move and emotion to me and touchbacks
1670635657_383021326656487424 x	today was awesome when got a new quondam and a spongebob game it has design games on it
1670635657_382677988220760064 x	people follow me when know all you people are out there so follow me
1670635657_382632296160849920 x	person no when love you name please follow me!
1670635657_382631572785987586 x	when just got home there was a huge fight it was crazy but it was fun like really fun!
1670635657_382373339966078976 x	he no YO JERRY call me tomorrow
1670635657_382372570323906560 x	Justin Bieber - Never Say Never ft. Jade Smith: URL URL URL
1670635657_382372027643863041 x	Justin Bieber - U Smile: URL URL URL this song always makes me smile it will make you smile too!
1670635657_382370756056731648 x	when had a good meal so fresh taste lasagna it was AWESOME!!!
1670635657_382289697386414081 x	Year I was born: June, 20 year 5:58am on a wedensday.
1670635657_382264179333165056 x	Justin Bieber - Believe (Audio): URL URL URL I will always believe in name Bieber he is my hero.
1670635657_382263465714278400 x	Justin Bieber - Die In Your Arms (Audio): URL URL URL this is a beautiful song when remember he calls it to me
1670635657_382263055008010240 x	Justin Bieber - Love Me: URL URL URL
1670635657_382258136888799232 x	he name fiction your so cute!
1670635657_382257984924954624 x	just got home. when screwed up some coupon songs for my family. it is almost time for my concert month 16!
1670635657_381949157268680704 x	Justin Bieber Justin Bieber Singing Fans Outside URL so cute!
1670635657_381948077109563392 x	Tongue / Justin Bieber new photos 2013: candids, photoshoots, personal photos, concerts and more: URL
1670635657_381945294239182851 x	Justin Bieber - #AllAroundTheWorld (Music Video): URL URL URL
1670635657_381944444464799744 x	laugh
1670635657_381942500165824512 x	when had a good year it is so awesome to be with all my fans!
1670635657_381428147998044160 x	Justin Bieber - Down To Earth no reveals Lyrics and JP pics: URL URL URL this is so beautiful when love his voice always.
1670635657_381427061912391680 x	person Justin I LOVE YOU!!!!!!!!
1670635657_381426422482362368 x	person you look so good justin!!! I love it you look very good inapathy photos so please follow me!!!!!
1670635657_381425526126043136 x	good morning people in my hotel eating color beverage
1670635657_381211238455197696 x	we are in his location right now with my manager learning my new song for my new album it is really cool.
1670635657_381208120837414912 x	hi people it gets crazy each day when we are allround his world but when love to be with .my fans.
1670635657_381207838413967360 x	he hi name hunter!
1670635657_381176469222731776 x	Justin Bieber - Mistletoe: URL URL URL this is my favorite song when just remember me and name under his mistletoe
1670635657_380926174282530816 x	person no love you justin!
1670635657_380918467647373312 x	#bieberhood reaction I LOVE Justin BIEBER!!!
1670635657_380842459091058688 x	person Justin I LOVE YOU PLEASE FOLLOW ME!!!!
1670635657_380828602356355073 x	Justin Bieber - Circus Afro Baby: URL URL URL This is so funny name Bieber circus afro!
1670635657_380811589969915905 x	my body part is brazed up now because people were chasing me and one man wanted to stop me and when tripped and fell now my body part is mest up!
1670635657_380480902544912384 x	it is been crazy lately!i walked in a store then people asked am when salma slade and when had to take photos with fans! well when love all my fans!
1670635657_380127470264909824 x	he hi clothes hall did you play on his age girl if you did when love it!
1670635657_380126088317259776 x	person hi name Bieber please follow me
1670635657_380125947195707392 x	you follow me everyone
1670635657_380096707083505664 x	yesterday at my concert was huge!!!!!!!!!!! there was so many people calling my name but my people had a great time!
1670635657_379818392456146944 x	just singing in my room getting ready for my concert
1670635657_379817481340088320 x	he he Cody when love you follow me ok
1670635657_379817134320128000 x	he bye make me another song too.
1670635657_379816726977712128 x	he name you are so awesome when watch your movies and everthing! And you look more with your new hairstyle!
1670635657_379814805307023360 x	Justin Bieber - Catching Feelings {Lyrics}: URL URL URL this is one of my favorite songs please listen to it
1670635657_379052000043753472 x	when name order met me he said all those things to me in english but he keeps asking me to be his love in spanish letters amor we are not affected
1670635657_379050920446668800 x	if you guys saw that video of name fiction he made it for me. he angry me with his video and he keeps asking me to be his amor.
1670635657_379047621299429376 x	Mi Amor Music Video - Matt Hunter: URL URL URL name fiction is so good and we are his family please watch this!
1670635657_378684417910112256 x	we are here on my item singing name Bieber beauty and a mention when love it!
1670635657_378672928809680896 x	name Bieber -mi amor new song 2011: URL URL URL this is not really name Bieber it is name fiction but when still like it
1670635657_378672379095814144 x	it is so taste when guess Friday his 13 is a bad luck day whatever a crazy man looking at me fight crazy with a weapon in his body part but when ran away!
1670635657_378668882518482944 x	good good all his windows down
1670635657_378665714191581184 x	Justin singing in his location - Back at One- Brian McKnight: URL URL URL name sung good at this age.really funny
1670635657_378036593916801024 x	bye everyone remember we are having a concert in month 16 if you buy tickets go to URL love you guys!
1670635657_378024163983622144 x	With You - Chris Brown Cover - Justin singing: URL URL URL when love your beautiful voice when he was little.
1670635657_378023391933890560 x	person love you justin,your always there for me!
1670635657_378023056431542272 x	Justin Bieber - Born To Be Somebody (Official Music Video) By Juan Andres: URL URL URL watch this you guys.
1670635657_377988880768573441 x	he no you watch my videos they are really funny and kind of sad
1670635657_377987915113963520 x	Charlie Bit Me Auto-Tune Remix (Original Video): URL URL URL watch this you guys comment it if you like it!
1670635657_377985955207987200 x	Charlie Bit Me - Remix: URL URL URL
1670635657_377973820293775361 x	he name when love you when could not believe you left me at 6 years old but you will still be in my heart when still love! unhappy
