51322348_334554242402619392 x	someone will come around, later or another.
51322348_293522059659722752 x	so here is his deal!!!
51322348_293516627641774080 x	I'm trying hard to figure something out, stay posted
51322348_290299515444011008 x	still need tickets? URL
51322348_289095247697412097 x	just learned his PA show sold out. good stuff
51322348_287983661943500800 x	my phone was dead since number yesterday and I had no way of charging it unhappy that was strange lol.
51322348_278545860634222593 x	reaction mooooonshine! take us to his fiction tonight.... could not get that out of my body part
51322348_276796086381850624 x	TORONTO! I'll be there January! have his awkward date just could not find it lol. order time that I'll be in Canada going to be a great show
51322348_264024308978950145 x	I'm in Philly and all I want is a clothes and cheesesteak
