1490555574_399602295908089856 x	he he he thank you!! happy
1490555574_399560989957697536 x	ok now he is pissing me off a lot more than he did, he does not want that much fans, he is a fucking appeal god how can you like her
1490555574_399251162987528192 x	so I found this informative comment and I feel his need to retweet it, no @.orranjewz on Instagram earned it. I agree though URL
1490555574_399041875765907456 x	ok people need to stop taking sports so seriously 99.9% of you guys or even 100% are not going to be service or his FIFA World Cup so you
1490555574_398933360682475520 x	I really do not like it when Victorians go between other Victorians #nowplaying me. like Ik I might not be nice sometimes but we are in his best team
1490555574_399007194152468480 x	he anymore I kind of do agree, I mean like that is why lots of people do not like Victoria cause of us. I do feel bad.
1490555574_398651888104906753 x	he laugh victorious would have like 8M, and yet you promoted Sam and mammal everywhere laugh that is his reason it has 1M it is not ettin more
1490555574_398585861463629824 x	fact #notamorningperson URL
1490555574_398239842741796864 x	he  funny
