2148918862_396053836722614272 x	he Ridley or sproles?
2148918862_396052535926341633 x	RT he "If you take anything from Adam "The Top Gun" DeMamp's life take this, Take it sleazy.. And I'm out!"
2148918862_396051824396214272 x	he food food racism at it is finest!
2148918862_395691140558909440 x	That was raw as bad #mcw and Evan slamming in Lebaron's #face
2148918862_395687069789720576 x	AI retiring tonight should have been a big ball fan since he left. Congrats to THE rank ball player Ive ever seen! #killercrossover #practice
2148918862_394237439684141056 x	he nationality family are taken cheaters Haha!! My no mom-mom might be cheater number 1.
2148918862_394204625454530560 x	he I think he might have been your show kicked off his air! #Dirtiestmouth #yetsofunny he
2148918862_393450326768238592 x	he you should have just earned that episode, not bad but waited design hours for that pretty weak.
2148918862_393096149361758208 x	he I know I miss you too!! I live 30 units away!!
2148918862_393084129044332544 x	he well I got his phone 5s and I did not make my twitter acct so I did not know my password. So I made a new one!! #noplayin
2148918862_393060497152819201 x	he you earned his salt that is what is his matter
2148918862_393048237151887360 x	he he Herm is THE MAN, you being a city fan has to be awesome to work with him! #originalmiracleatML
2148918862_393060327249956864 x	he I hear you me too! You're a great radio too keep up his good work! #phillyphaithful
