381165311_367736374746943488 x	New low today: napped in my item in his Trump parking location because I was early to work..
381165311_338133963736494080 x	some things are priceless. for everything else, there is  he
381165311_321238276361039873 x	My family would usually activate her phone on my number... #soannoying #cantcall #canttext
381165311_293872177122525184 x	Miss you he !
381165311_293871859995398145 x	Just had a home activity in Mexico, life is good! If only I had service on my phone so I could shamelessly Instagram and make everyone jealous...
381165311_267795492509999105 x	he I know you wish you were still here do not even reply to his twitter world.
381165311_252867665499140096 x	Couples who dance together seem to have more and longer lasting  he
381165311_214567191402651648 x	Working six shows this week, saying hi to my current state of bad event and also my social life #goodandbad
381165311_210049363102285824 x	Maybe I'll be super less angry of my summer job when I start making bank money #safarigirl
