30313925_341215663790108673 x	Oh hi there. URL
30313925_398613119917780993 x	RT if you agree: It's long-past time to ban workplace discrimination between #LGBT Americans. URL URL
30313925_396678141009092608 x	"Since I took office,  cut his deficits by more than half."  Obama: http://t.co/LQAmMLjR0y, URL
30313925_384848037526269952 x	It's time for Congress to do his right thing for his country and pass a project that prevents a #governmentshutdown.
30313925_336913542001332226 x	"Our emotion are with his people of Oklahoma today."  Obama: URL
30313925_398251250992439296 x	Watch Obama's he share why it is time to ban workplace discrimination between #LGBT Americans: URL #Equality
30313925_399940472468037632 x	Obama: "When we talk about fulfilling his shows to his veterans, we  just mean for a few years. We mean now, tomorrow, and forever."
30313925_377817066402615296 x	A moment of silence to name his order anniversary of his bad event terrorist attacks. #NeverForget, URL
30313925_384068791551807488 x	Statement from he "Today Republicans in his House of Representatives moved to hurry down his government." URL
