241209954_107584148083982336 x	Hot? Or 'Hurricane-Coverage Hot'? URL
241209954_49559608053862401 x	Maybe CBS should put Mike Pereira on his set.
241209954_389746171020705792 x	number years later, Bortman calls enigma URL
241209954_388668318963363840 x	Topic yesterday, rank HS sports player you saw play..in person. My top 3..Anfernee Hardaway..Glenn Robinson..@RonnieFields23 ..yours??
241209954_376003319069544448 x	"Hello softy. Are you dry...are you ok this morning?" Michelle Tafoya's order line to Dan on radio today. he
241209954_328209490568691714 x	Surprised Jets did not draft Dennard Robinson and fly him back to quarterback.
241209954_390826673878204417 x	Over/under on when Fritz order calls on radio is 9:23am est. Your bet?
241209954_388292213005754368 x	You want to do Tony Gonzalez a favor, fight him his his Broncos, not his Chiefs.
241209954_386098409389559808 x	The next coach his Buccaneers bring in will not even have gone to college.
