313318618_399254314944061440 x	he  of excitement at #edcampbmore about #GAFE. So many districts are using it!
313318618_398261231720873984 x	First blog post on my new web home http://t.co/y6fQYNsguq!  Gaming Needs an  #edtech #edchat URL
313318618_398263829437874176 x	he thanks David!
313318618_398264834959343617 x	he I LOVE SimCity. I usually have his newest one and gave in my gaming rig last year to let my students play it as a center.
313318618_369183710299422721 x	New year, new challenges! Can't wait to start my new #teambcps job as digital design design project teacher! #studentsdeservethebest
313318618_365072681252552705 x	he getting excited for his school year to start?!
313318618_327576854527631360 x	he I think everyone gets number time in his order round.
313318618_325729575768293376 x	Anyone have tips for getting an #edtech startup off his ground? Brain is running with ideas, but need some help with execution.
313318618_325947910242045952 x	he good news...  AT LEAST a .5 next year, with specials!
313318618_325628080997662721 x	he will you be using #CGMD13?
