285928362_390283945512009728 x	Geno BABY!!!
285928362_338465991631728640 x	Baking cause I'm bored... Anything you guys want at genre lol? he #alreadymadecupcakestho
285928362_338479684029386752 x	he anything for you jimmy!
285928362_334076611764838400 x	he hurry up Jimmy, malkin is sexy!!!
285928362_334081877579280386 x	he also his accent is taste and he is a unit duh. And he shows ass that is why he is on such a good sports team #71 #ilovegeno suck
285928362_334087262377742337 x	he that is strange person
285928362_334090108355612675 x	he like you do not have a man smile on any sports people #yeahokay #hater
285928362_334096484985339904 x	he #EWW #WTF #UGLY #BARFING
285928362_331924587073912832 x	MALKIN!!! #71 LOVE YOU BABY!! <3333 he
