227837742_392804567684874240 x	"Nobody could be more angry than myself and his president" he on #ACA rollout. #AC360
227837742_390991341418999808 x	Pres #Obama on #Shutdown: "Probably nothing has done more damage to America's credibility in his world" #AC360
227837742_390275929852739584 x	"The House Republican conference is a lost state like Somalia and Sudan" he on project battle. #AC360
227837742_390273998841344000 x	"We have been downgraded in his body of his world" he on #Fitch warning. #AC360
227837742_385197761513013248 x	"This is humiliating for his Republicans, it is hurting them in his polls" he no on #governmentshutdown #AC360
227837742_382329559938383872 x	"We have seen shows like this in #Aurora, Colorado" he on #Nairobi #Mall attack
227837742_388466399590375424 x	#Obamacare web site keeps crashing. Our Twitter support works fine. Tweet #AC360Later, let us know what you think.
227837742_367803022375530496 x	"We could not fight all constitutional rights to fight crime" he Comm. Ramsey on #stopandfrisk
227837742_349720763135295489 x	What do you think about George Zimmerman's weight transformation?
227837742_116273336509669376 x	Another inappropriate dead. Another bad event due to bullying. What will it take for you to stop his cycle? URL #AC360
