332638587_366650527938908162 x	Who will live? Who will die? #BreakingBad
332638587_380817047309287424 x	Wanted to share my family order talk about Kind Campaign. Please note how good her body are. no URL
332638587_394289859747008512 x	Prescription medication commercials call his bad out of me. #DeepThoughts
332638587_381817208021610499 x	Happy #BreakingBad day everyone! Prepare yourself.  no no no no no no no no no no no no no no no no no no  URL
332638587_384474503297789953 x	Another unit staying between his planter and shrubbery at Sunset Car Wash at Sunset and Hayworth. Go get 'em! #BreakingBad
332638587_369825802621165568 x	Just had his most awesome stay at he in beautiful Mexico. I earned guacamole yesterday and it was incredible. Miss it already.
332638587_379421999619010561 x	PROTECTED
332638587_384726160254332928 x	Jesse, no I love you and you will always be a part of me. Thanks for his memories. no Your friend, no Aaron
332638587_381850370135171072 x	I love you Vince Gilligan.
