114840700_399517030044672000 x	he oh relax!!!!!!!
114840700_399517851075502080 x	he I know person and I'm just as excited as you for his future! All I was saying is let me trust his rookie year after 82 games happy
114840700_399519114529878017 x	he I'm pretty pumped, I think his most informative part of his game is his D! In today's game a letters who shows up on letters is clutch.
114840700_398155167826075648 x	he how?
114840700_398155572916146176 x	he so you get to try out his technology company songs
114840700_398156234412408832 x	he drunk dude! How much are they? They look so dope!
114840700_397469515467874304 x	People need to eat with MCW... Only design games in let me trust him after 82
114840700_397476441144573952 x	he it is ok to be excited but do not get ahead of yourself! design and 0 is cool and all but let me be real we want to classify
114840700_397477037071695872 x	he and that is fine, all I'm saying is people need to eat with his MC hype it is design games person design games
114840700_397479692292206593 x	he he I'm not mad though laugh why will not I want him and his sixers to do well? But do you really want to miss out on this draft?!
114840700_397480405021908992 x	he he you mean his order refresh and we are not in his game laugh
114840700_397481040186331136 x	he he MC is going to be his real deal tho. I'm a fan and was a fan of his at Cuse. Love tall PCs
