38241499_374923735469289473 x	Back to Philly after his he he fight in ORL. RT he will you be back with he he again this year?
38241499_374918327837020161 x	Feels great using college ball again! Conference calls with coaches, people and he team today-we have your order game Sat at 12et!
38241499_399550943311572993 x	PROTECTED
38241499_399124223286734848 x	In his team hotel location after 3.5 hours of sleep because I realize it was small... #almostaVetMove
38241499_370683289104695296 x	PROTECTED
38241499_370680126935015425 x	PROTECTED
38241499_395724825412378624 x	what just happened
38241499_394853086893588480 x	Just arrived to NYC-Sixers have updated his signing of nationality BYU PF Brandon Davies, who was born in Philly. URL
38241499_385448844009291776 x	LOVE his he new marketing campaign... #TogetherWeBuild URL
38241499_395686968576593921 x	Here we go! Join us on he #MIAvsPHI
