1087556294_395965311197151232 x	he I remember listening to Black Snake and just loving how hard that song rocks! #black_snake
1087556294_394972450678910978 x	Sorry I'm not home right now, tripped over a spiderweb, leave a kidney, and I'll visit it to science. #itsallyourfault
1087556294_394971792387088385 x	Sorry I'm not home right now,tripped over a spiderweb..
1087556294_394670857458814976 x	he Tim, your solo in Loud and Clear..great example of how to really groove and set up his guitars. #epicbass #stryperrocks #777
1087556294_389602938035138560 x	he Mike, who is idea was it to download his secret text on his old Colored vinyl service in his location of his record ?
1087556294_389601912859160576 x	he no Mike do you have a favorite striper song that was not a project success but that you seriously love ?
1087556294_389601047263850496 x	he
1087556294_389505488582610944 x	he Way to back it up on his gridiron with your order NFL game with TWO TD receptions #speedkills
1087556294_327255149607268353 x	I like food food URL
