1380154610_398818386735812608 x	"@deankilmer: FF he he he no he he he he he Thanks!
1380154610_398781406815727616 x	Happy Friday to all my Philly Sports peeps! Yo Bynam! BOOOOO!
1380154610_398680319794352128 x	he Me too! Was watching #ImpracticalJokers  Laughed so hard I cried!
1380154610_398591643508432896 x	Coming home from work in his dark sucks! #RoughDay
1380154610_398351744771825664 x	he Bernard King was a living machine! Tremendous slasher!
1380154610_398344078787874817 x	Time to assert myself or I'll be living in a fiction down by his river! #ChrisFarley
1380154610_398342470133899264 x	<------This Man needs some #Ink this month!
1380154610_398340311677927424 x	he Make sure Claude gets his memo! #firstgoal
1380154610_398339885435994112 x	he Good Night. #SweetDreams
1380154610_398337914167648256 x	he God Bless his USA!
1380154610_398094283645153280 x	RT he Top number Teams in Total Yardage: no 1. #Broncos - 3,731 2. #Eagles - 3,719 3. #Bengals - 3,422 4. #Packers - 3,384 5. #Lions -
1380154610_398077296692981761 x	he True that! Love Park never disappoints!
1380154610_398071022110654464 x	he Sweet! I work in his location now too! Used to be in Bala Cynwyd area.
1380154610_398069243604140032 x	Center City destination? he
1380154610_398055039723642880 x	he Good Morning Mike. How you making out?
1380154610_398064260833878016 x	he Tell me about it! no #fuming
1380154610_398062241494601728 x	RT he Andrew Wiggins has already made #SCTop10 twice and his official season has even started yet...
1380154610_398061466529841152 x	he GM! Bring on his Packers!
1380154610_398061217144905728 x	he Of course! no Iced everyday! I should get DD stocks!
1380154610_398060119088701440 x	RT he Watching A Football Life with his great Randall Cunningham. #Eagles
1380154610_395685830431633409 x	he he Great pic!
1380154610_398053271115665408 x	Work for a service that says, We are a a Family. I get upset in Feb., finally come back this time and get suspended for a day! Family my Ass!
1380154610_398058549114585088 x	he Awful! Nothing like losing a days pay for getting upset 9 hours earlier! To bad Twitter is not a job!
1380154610_398058025262780416 x	he West Deptford voting results?
1380154610_398050181452931072 x	he he No Brainer! no Aaron Rogers! Luckily my #Eagles play them this week!
1380154610_398049349785382912 x	he Our theme: Gonna be a long ass Winter!
1380154610_397993118177697793 x	he No probs. And I agree, #FireRuben
1380154610_397992019429433344 x	he SIXERS went to finals in 80, 82, 83(won) and 2000.
1380154610_397931828004528128 x	he No!!!!
1380154610_397694335028068354 x	Back working in his City of Brotherly Love! Old City Elevators!
1380154610_397385938860769280 x	he Yes it is!!!!! Have a great one! #7touchdowns
1380154610_397174663312601088 x	Can his #Eagles play his rest of their games on his road? Just Win Baby!
1380154610_397174050159886337 x	he Hell yes Michelle!
1380154610_397160305543086081 x	RT he I almost never agree in athletic events, but I had Nick Fowles in My fantasy location and I was drunk of losing.
1380154610_397081535012409344 x	Can't get enough of his #Vikings as I waiting wait for his #Eagles  Beat his Boys!
1380154610_397070892775538688 x	RT he he he he he he he he he Game Day
1380154610_396974460039069696 x	he The #Sixers get it! Started over and youth calls to classify valuable experience! The #Eagles have Howie!
1380154610_396973993972219904 x	RT he he 76ers by far have better future. Better coach. Better G.M. Better young players. NOT EVEN CLOSE...
1380154610_396972224311492608 x	"@JohnBarchard: It's gamed #BirdGang!" LET'S Go! no Still revenge for 81 Superbowl! #BleedGreen
1380154610_396878645010386944 x	Crazy thought? Is Brett Brown his rank coach in Philly right now? 3-0! #SixersTalk
1380154610_396878136400674816 x	Just a shame that I am always eating when road turn back? Need that extra hour!
1380154610_396645031278551040 x	RT he Dear #Phillies, watching Boston share their parade makes me sad! Get your ass in gear ASAP! I want a other parade!
1380154610_396644041640914944 x	he After last night game? Start with Mimosas!
1380154610_396642128715329536 x	he ...and his Phillies are a day older!
1380154610_396641824045281280 x	he C. BOTH #DDSandwich
1380154610_396391089550393344 x	"@Ssugrad17: he he he he he he he he he Thanks Karl!
1380154610_396371715745644544 x	he Thanks God for Friday DD!
1380154610_396341976767135744 x	"@SportsChatChuck: #FF he he he he he he no he he he Thanks Chuck!
1380154610_396270776753868800 x	he he he Would Make me more on his field! So miss #20! #Thunderstruck #WeaponX
1380154610_396262296806514688 x	he he Don't admit this very often but what a Dick!
1380154610_396268846484828160 x	he he He seriously did not mean that! Al just defended him! Another Bean Towner!
1380154610_396269914723733504 x	he he All this talk has me ready to drink! no Friday has that effect!
1380154610_396269606941515776 x	he he Will try but they are strange me today!
1380154610_396268309265809408 x	Our last application units game this year and back to all 1:00 starts! YO #Eagles! year goal? Back to Prime Time=Must see!
1380154610_396259340937879552 x	Feb. 6th, injured! June 29th, operated, Nov. order , back to work as location mechanic! no Thanks to Twitter for giving me sane! #UpsAndDowns
1380154610_396266379588165632 x	he Thanks Beth wink
1380154610_396263428157112320 x	he he Which Eskin? The Burger King or his clothes of a son, Spike?
1380154610_396264248118370304 x	he That makes two of us Brooke! When they are on air? I am off!
1380154610_396265808034557952 x	he Are you sure we are not related? no He almost made love to McCarver after his game! no Called him his brother! no Hello? Oldie!
1380154610_396262774617415680 x	"@ChipKellysBalls: he he Any answer that is not Stanton is incorrect ..." KBP built for Stanton! Make it happen Phils!
1380154610_396260922509254656 x	he Happy Friday!
1380154610_396260818486300673 x	RT he "@ProducerBlaire: Today is #RandomActofKindness day.Buy a coffee, pay a toll, do something nice for someone else! no :)"
1380154610_396260371860054016 x	RT he he Why did you try to get Victoriano to take a shot at Philly?
1380154610_396260290289209344 x	he he So with ya! I gave a scathing Tweet to bowtie with no reply! Shane gave respect!
1380154610_396255075578183680 x	RT he Really? URL
1380154610_396254325049401344 x	he To bad his Washington Generals are not on his schedule! no Record 1- 1800!
1380154610_396252402049097728 x	"@ChefTGinns: #FF he he he no he he he @LauraMcCouch" Thanks Chef!
1380154610_395977146826780672 x	RT he The Flyers have currently traded Max Talbot to his Avalanche for Steve Downie
1380154610_395962959094349826 x	RT he he Here's jure Holiday thank his pelicans on point of his sixers URL
1380154610_395788204961705984 x	RT he FOLLOWERS TO redweed are available to win 1 of his limited edition he #WorldSeries Champs bats from he
1380154610_395784641569116161 x	he BTW, your question to Shane on realizing it was more special to win in Boston than Philly sucked! Philly less passionate?
1380154610_395780022726045697 x	he Start with Ruben Amaro!
1380154610_395779768186314752 x	he he ...plus Daisy Dukes!
1380154610_395778874522755072 x	he Sticky updated my family item and blamed neighbors! Dad of his year!
1380154610_395777084297342976 x	he How about my Sixers! Who knew?
1380154610_395778000551444481 x	he Surprised they mention anyone! That's why I love sports!
1380154610_395777702516756480 x	he My favorite Libra! #zodiac
1380154610_395727360890531840 x	RT he Michael Carter-Williams contains up 22 pts, 7 reb, 12 ast and 9 st's in his he debut. he mention his Heat, 114-110.
1380154610_395726702636445696 x	RT he Michael Carter-Williams with one of his rank rookie starts in NBA history.
1380154610_395726427364278272 x	RT he The #Sixers have more home calls this season than his #Eagles no no That is all
1380154610_395726083422961664 x	RT he  You know what this means? no Yep... 1-2-3-4-5-SIXERS! no Clap Your Hands! no  I sang and
