874382720_367426844834148352 x	he back in school soon! Great job today!
874382720_350203783017541632 x	he hey! Hope summer is going well...but not too taste
874382720_348792039829274624 x	Message to his kids: talking during movie #notswagatall. Good thing #hardyhigh would never dream of it
874382720_348792686418997248 x	But for real - almost had to give demerits out at world bad event z....next time I'm coming with sorry cards. he he
874382720_348838288385245184 x	he no way - I'm making movie theatres better for everyone!
874382720_347844851758424064 x	he be at school at 1030
874382720_347646937589235713 x	Last day of school!..but I'll miss his kiddos (after I get a age break) he he he he he
874382720_347719405494468609 x	he he he he no thanks - have a great summer!
874382720_315404355366957056 x	Spring break!!! Make sure you still read something he he he he he he
