581407100_384116937225428992 x	I'm ready to dance
581407100_376391937668182016 x	3-0 babyyy! #DVCFH
581407100_353912377915351040 x	40 days until preseason
581407100_353968363556454401 x	he I'm trying too funny
581407100_353968838943059969 x	he I do crossbit and some other stuff but yes he contains
581407100_353970176133308416 x	he I like it a lot. It's a really hard workout and they pass me so it probably gets me preseason ready
581407100_340660590332764160 x	I know it is summer again when all I can hear Friday units in my room are his races
581407100_341185168339517441 x	he yes it is Trailway Speedways.. It's right behind my development.
581407100_340876580391878656 x	I have a strange obsession with making good cell phone photos
