1109331564_395910047127326720 x	he you good!??
1109331564_393826471699304448 x	he turn up
1109331564_393826868987985920 x	he surprise
1109331564_389837701610209280 x	he why why
1109331564_385934786713632768 x	I emphasis on you with your family he
1109331564_372837162561318912 x	I miss he so much
1109331564_372837798438772736 x	he come take his road to city
1109331564_372838044136898560 x	he good family take Manhattan
1109331564_359026754297819136 x	I miss he
1109331564_357280686870237184 x	you are a female he
