46530296_391030013103198208 x	Trying to come up with text that could become shows to Flyers struggles. I got nothing.
46530296_289176712791613440 x	Welcome back, NHL. RT he Paul Holmgren going in on Longo big time. Next year, breezier gets earned out #takeittothebank
46530296_228648981239066624 x	Well, I really just want to no know what taken to Ryan Parent in that deal.
46530296_226495289979174912 x	...Not because they would be over his cap.
46530296_226499652114063360 x	he Nope, not at all.
46530296_220366136791924736 x	Okay, I got way more problems than I anticipated, therefore I can answer numerous ones at a time.
46530296_357685270767861760 x	Closing in on his one year anniversary! #Flyers URL
46530296_389823497587134464 x	There's an official petition to change his Flyers goal song to reaction (There It Is)! And I screwed it. You should too. URL
46530296_387217788580134912 x	Paul Holmgren is still in Philadelphia. To me, that means a lot about his manager problems that Ed Snider has made.
