104062514_352620472493543424 x	Looks fantastic! no RT he no all finished!!! Off to rest now! Hope I got a nice drink ring. URL
104062514_352439705746411521 x	Good morning! I'm up smoking ribs and making salads. Who's Excited for BBQ?!
104062514_352536505820004352 x	Nice!  he about to do two racks for meal on this!
104062514_347799597927788544 x	Mom's having surgery tomorrow. Hasn't seen since last night and will not until after. Asks, "can we plan he takeout now?"
104062514_344887234664726530 x	When someone at his table next to mine is a order timer and says they can share his heat but asked for a side of yogurt. #NO
104062514_344939640823894016 x	he he was a female You would have thrown him out. Asked his service if his water was Chinese or American. I wish U were there.
104062514_322435861348233216 x	I should have seen her...I'm still eating though. no RT he he you admit why to Double Dragon?
104062514_322433890990030848 x	Lunch stop he well...Exton #wontons #chilioil URL
104062514_248239781237112834 x	he what have you been eating lately?
104062514_240447394964180992 x	Is that all you can get?! no RT he eating bud... never thought when would admit this but beers in city sucks ass....
