331329911_394315070718898176 x	I still could not believe he screwed a female up at his game today  #heatbitches
331329911_394443746236198912 x	he  he was not doing shit, that is why he was on his ground. I wish I was closer so I should have said something, people
331329911_394445641629589504 x	he you should have seen number 25s body part when he saw you... She was usually like
331329911_394458685742665728 x	he funny
331329911_394490409181003776 x	he as you mean and I do not think he is, he said they are a lot of people and he will not want to be on your bad side
331329911_394491818270023681 x	he I'm sure he is not mad! Just talk to him tonight
331329911_393750805645631488 x	Bummed I could not go to my game tonight because of work
331329911_393760107877892096 x	he surprise  but good luck and text me after and let me know how it went!
331329911_393761044042358784 x	he yes! Saturday and Sunday if we win tomorrow's game!
