135731468_398589472230486016 x	Workout done... Coffee please.
135731468_387726711049035776 x	HEY!!! YOU THERE, CHECK THIS OUT!!!  RT he Sage means business. She's a good pup. URL
135731468_387063500981301248 x	I love  #elephants URL
135731468_379782998511460352 x	Ok... What to do for Dinner in Boise Idaho? No potatoes that is just to obvious.
135731468_378040492048412672 x	Ok... Pants, or no Pants? he
135731468_367712044419518464 x	Philly!!! You ready for his he ? Tonight he URL
135731468_368194113587662848 x	Oh Hey!!! RT he he URL
135731468_371350907121713152 x	Today's before, and after is gave to you by #STOPEATINGAFTERSHOW. Me on his left 2008,me on his right design units ago URL
135731468_374994507806560256 x	That is so Awesome!!! Im honored. RT he he no no Finally done!! What you think? URL
