1249523623_392853642056716288 x	Loved his show
1249523623_392848379060842497 x	RT he redweed if you love  #ChicagoFire!
1249523623_392842046115164160 x	I feel bad for Clark. #chicagofire #NoMoreSand
1249523623_392834888363036674 x	he You go Boden. #KissMyAss
1249523623_392756209373040640 x	he His name is Andrew Clegg
1249523623_392501968091885568 x	he Could you also wish him a happy birthday on Thursday it would be totally appreciated. #WesWelker#DenverBroncos
1249523623_392501440184197121 x	he May I just admit my family is one of your biggest fans, he thinks your his rank player in his world. He could not wait to get your jersey.
1249523623_392030078172815360 x	he no I totally agree, that call was complete garbage. After Folk love a 56 door road goal. Feel bad for his rookie
1249523623_391815912140988416 x	The Oregon Ducks fly to another double amount victory. Oregon 62 - SU 38. #QuackAttack#MarcusMariota#HeismanTrophy
1249523623_391812150131302400 x	he Did you see Velcsquez convince Dos Santos
