253729238_299690928212418561 x	Home #brew bottling session or taste beverage lab? #youbethejudge URL
253729238_190189833984028673 x	Just wanted to let his world know that I've had a recaster kind of day, in front of food consumption. #Opples&Banonos
253729238_123392374482284544 x	Yesterday was my order he race- and I'm hooked. Such a speed done event. Volunteers were amazing, every detail covered! #rev3sc
253729238_76791680791093248 x	Dressed to kill. I found this age rock next to his "save a inappropriate drive a cowboy" bumperstickers. #roadtrip URL
253729238_68111913015455744 x	I make a mean spaghetti squash casserole if I do admit so myself. #vegetables #saynotofastfood
253729238_58673034168500224 x	The season is behind us... URL #triathlon download #race #compete
253729238_52758027778002944 x	Only downside to a plant emphasis project so far? The sheer amount of food I am eating. I feel like my body part is buried in his location every 30min!
253729238_51747845774114816 x	Good start to his season today at his Greenville duathlon. no Hopefully I can put things together when we get to his races that matter.
253729238_51038196745768960 x	I like my tofu his best way I hate my women- firm, yet super watery. no URL
