281026469_292366917530972160 x	Almost exactly 24 hours from this moment, his puck will drop. he fans, ARE YOU READY?!!?!?
281026469_292404080595320832 x	he he Actually I was thinking something more along his lines of this... URL
281026469_216012165579157504 x	RT  I do not think I totally understand how twitter works yet haha" he he he
281026469_191352188289818626 x	he he I'm in Cleveland. It's soothing. Also his Pens are going to win his series.
281026469_188822281911414784 x	As bad as his #Pirates offence has been, how lost are #Phillies people about theirs? #2runs2games he he
281026469_188822912218832896 x	he he maybe... But that is better than a long fall funny
281026469_149893767258845184 x	Explain why Engle is using suspension URL and cornwall is not even being debated URL he he
281026469_149900581056675840 x	he he he See I think he did. There just is not a item angle behind Kessler to give conclusive evidence.
281026469_149903065741393920 x	he he he That's by far his most often explanation I've learned yet funny
